,created_at,source,original_text,cleaned_text,polarity,subjectivity,sentiment,lang,likes_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,retweet_hashtags,user_mentions,place,place_coord_boundaries
579,2022-07-17 09:28:51+00:00,Microsoft Power Platform,"Plane transporting 'dangerous material' crashes in Greece
#123INFO
https://t.co/1IVqoPJxXY","Plane transporting 'dangerous material' crashes in Greece

",-0.6,0.9,Negative,en,0,0,123_INFO_DE,118,12,False,RwandaIsKiling,,EUwatchers,  kisangani-rdc,
581,2022-07-17 09:27:54+00:00,Twitter for Android,@LexiasCommunas Mdrr mais quel rapport avec la RDA ?,Mdrr mais quel rapport avec la RDA ?,0.0,0.0,Neutral,en,1,0,UnchainDjango,9954,8866,False,Kagame,,"RL_Patriote, LeMwalim_, MONUSCO",Mexico,
584,2022-07-17 09:21:10+00:00,EUwatch,"Étant eux-mêmes des rwandais, les RDF/M23 n'ont pas besoin d'un quelconque appui militaire du Rwanda, leur pays !","Étant eux-mêmes des rwandais, les RDF/M23 n'ont pas besoin d'un quelconque appui militaire du Rwanda, leur pays !",0.0,0.0,Neutral,en,1,0,EUwatchers,25730,7621,False,Fardc_Fdlr,,hermes_z,Mexico,
586,2022-07-17 09:19:11+00:00,dlvr.it,Dozens dead in Sudan tribal clashes ~ https://t.co/uoLp6EXfu2 https://t.co/ujWft8mYFj,Dozens dead in Sudan tribal clashes ~  ,-0.2,0.4,Negative,en,0,0,rogue_corq,1834,1786,False,"MinoritéGouvernementale, pas, MajoritéRelative",,RepDeFiFidonia,Brussels,
594,2022-07-17 09:05:53+00:00,Twitter for iPhone,"@aksharmaBharat 
@AwasthiAwanishK 
@mduppcl 
@MdPuvvnl 
@puvvnlkaushambi 
@AtulTripathiJi
उत्तर प्रदेश में बिजली मीटर विपरीत दिशा में चलते हैं क्या? RDF बिल नियमित रूप से लंबे समय तक नहीं भेजे जा सकते । 6 महीने से उपभोक्ता परेशान है। कृपया शिकायत का संज्ञान लेकर उचित समाधान करें। https://t.co/B58GwFJD85","
 
 
 
 

उत्तर प्रदेश में बिजली मीटर विपरीत दिशा में चलते हैं क्या? RDF बिल नियमित रूप से लंबे समय तक नहीं भेजे जा सकते । 6 महीने से उपभोक्ता परेशान है। कृपया शिकायत का संज्ञान लेकर उचित समाधान करें। ",0.0,0.0,Neutral,en,3,0,fionamci,363,806,False,RDF,,hermes_z,"Apodaca, nuevo león",
597,2022-07-17 09:00:01+00:00,Twitter for Android,"Germany's COVID-19 summer spike pushes nurses beyond their limits
#123INFO
https://t.co/7PPAUj4S16","Germany's COVID-19 summer spike pushes nurses beyond their limits

",0.0,0.0,Neutral,en,0,1,FireyTopaz,7145,7860,False,"Google, Ubuntu, Debian, gLinux",,RepDeFiFidonia,República de fifidonia,
602,2022-07-17 08:53:10+00:00,dlvr.it,"RDF - F Doido 🤡🚬 
*OUT NOW*
https://t.co/NRxhVWtkZs","RDF - F Doido 🤡🚬 
*OUT NOW*
",0.0,0.0,Neutral,en,1,1,rogue_corq,1834,1786,False,"fujifilm, fujilove, fujixargentina, fujiadictos, юпитер37a, юпитеp, jupiter37a, rusia, fujixe1, xe1, captureone, byn, gato, perro, trabajador, кошка, собака, работник, черноеибелое, 黒と白, 従業員, 犬, 猫, 木星",,RepDeFiFidonia,"Duque de caxias, brasil",
604,2022-07-17 08:51:50+00:00,Twitter for Android,"@GLRPostColonial @TheoMpoze @Augmunyaneza @jumuiya @SADC_News The US, UK, Belgium and France were already complicit in training Kagame and his RDF troops abroad. Which led to the assassination of Juvénal Habyarimana and Cyprien Ntaryamira. To the death of 1 million Hutus and Tutsis in 94. And later the death of 6 million Congolese in 96-03.","    The US, UK, Belgium and France were already complicit in training Kagame and his RDF troops abroad. Which led to the assassination of Juvénal Habyarimana and Cyprien Ntaryamira. To the death of 1 million Hutus and Tutsis in 94. And later the death of 6 million Congolese in 96-03.",0.0,0.0,Neutral,en,0,4,zennn56,134,137,False,"RDF, Africa",,RepDeFiFidonia,Euskal-herria,
606,2022-07-17 08:46:12+00:00,Twitter for Android,Does anyone else celebrate their pets birthday or is that just me? I told someone today that it’s my dogs birthday next week and he’s getting presents and a dog cake and they looked at me as if I was mad!,Does anyone else celebrate their pets birthday or is that just me? I told someone today that it’s my dogs birthday next week and he’s getting presents and a dog cake and they looked at me as if I was mad!,-0.390625,0.5,Negative,en,0,1,KhaMaj06215442,60,104,False,123INFO,,RepDeFiFidonia,Perú,
610,2022-07-17 08:33:27+00:00,Twitter for iPhone,"@MrDizTV @CredoGamez …but it works for them, works for those who follow them and it allows them to make a living. I can’t be mad.

If I got offered to wrestle tomorrow for a payday, no training, I’m taking it lool there is always the bigger picture of growning your brand etc.."," …but it works for them, works for those who follow them and it allows them to make a living. I can’t be mad.

If I got offered to wrestle tomorrow for a payday, no training, I’m taking it lool there is always the bigger picture of growning your brand etc..",-0.3125,0.75,Negative,en,0,2,UwimbaV,98,1027,False,RDF,,sergesindani01,"Mars, mont olympus",
611,2022-07-17 08:26:21+00:00,Twitter for Android,The first images from the James Webb Telescope wowed the world this week. But what do they mean for the future of astronomy? https://t.co/e0Xr0cwZ1U,The first images from the James Webb Telescope wowed the world this week. But what do they mean for the future of astronomy?,-0.02083333333333333,0.3819444444444444,Negative,fr,2,0,staff_frontline,41,249,False,RDF,,RepDeFiFidonia,Peru,
612,2022-07-17 08:23:19+00:00,Twitter Web App,"Nous n'avons jamais compté sur votre soutien, médias corrompu au service du crime organisé et de sa propagande.
Le régime #RwandaIsKilling est impliqué dans un génocide visant les congolais, plus de 10Millions des morts, il a encore envoyé des Terroristes RDF déguisés M23 pr tuer https://t.co/sogpA0WEbO","Nous n'avons jamais compté sur votre soutien, médias corrompu au service du crime organisé et de sa propagande.
Le régime  est impliqué dans un génocide visant les congolais, plus de 10Millions des morts, il a encore envoyé des Terroristes RDF déguisés M23 pr tuer ",0.0,0.0,Neutral,en,0,0,MrDizTV,2173,792,False,RDF,,dwnews,Peru,
613,2022-07-17 08:22:29+00:00,Twitter Web App,「見直す決意新たに」　国家公安委員長、安倍元首相銃撃現場を訪問 https://t.co/K2nAyRQ7Sh,「見直す決意新たに」　国家公安委員長、安倍元首相銃撃現場を訪問 ,0.0,0.0,Neutral,en,0,13,IanSaph1,1,8,False,DW,,RepDeFiFidonia,"Lima, peru",
625,2022-07-17 07:52:02+00:00,Twitter for iPhone,"@CharlyBueno13 @Seventeen_qbctf @VerzeroKodi_C @ElKFreestyleMTZ @KosmosEnKarma @JulioVera___ @JaviBoss10 @killermcrpm @NoTengoAka @rdf_art @IanCarlos_ianK @FlowBeach1 @CarlitosPU1 @consentida_free @etzero_j @DiazPimienta @jahmancubanboy @York_newfree @wvelazquez01 @yosy_sgold Si tengo que dar 5 rapers de Cuba , doy al Menol , si tengo que dar 3 Rapers de Cuba , doy al Menol,  ese chamaco es puro talento , vibras, buena energía , que grande💪","                   Si tengo que dar 5 rapers de Cuba , doy al Menol , si tengo que dar 3 Rapers de Cuba , doy al Menol,  ese chamaco es puro talento , vibras, buena energía , que grande💪",0.0,0.0,Neutral,en,0,0,TSHIKAPA01,17896,4979,False,ElPayasoLastimita,,"DieudonneBila, JOJOnaomiendagu, saana_ana, evatntumba, Erickabeya10, nestormukendi, ChrisNyamabo, rufagari, MuyeheEmile, AngelKazadi, Dompundu, Rush7al, kakese_leon, JMMannix23, damkup",Breuschwickersheim,
632,2022-07-17 07:12:39+00:00,Twitter Web App,Hungary: Protesters angered by Orban-backed tax reforms https://t.co/5YcAh9oxwC,Hungary: Protesters angered by Orban-backed tax reforms ,-0.75,0.85,Negative,en,0,13,MSmithWriter,1733,4298,False,"RDC, RwandaIsKilling, M23, RDF, KAGAME",,"goma24news, AllyKabengera, StanysBujakera, albcontact, gateteviews, LwarhibaM, kazadi_peter, BavickM, CybelleKamba, BenitaNtumba, PatrickMuyaya, fatshi13, kongolaise, EgidieBibio, sethkikuni, moise_katumbi, cibalanky, AngelKazadi",Wrexham,
633,2022-07-17 07:12:14+00:00,Twitter for Android,Iran sanctions dozens of Americans amid rising tensions https://t.co/1oqL30SdLi,Iran sanctions dozens of Americans amid rising tensions,0.0,0.0,Neutral,fr,0,3,Livye3,352,25,False,"RDF, Africa",,TwizerimanaVen5,"Lancaster, england.",
634,2022-07-17 07:03:59+00:00,IFTTT,Cargo plane transporting 'dangerous material' crashes in northern Greece https://t.co/BQY1S9qGLc,Cargo plane transporting 'dangerous material' crashes in northern Greece ,-0.6,0.9,Negative,en,0,0,Noticieros_MEX,4915,393,False,RDF,,RepDeFiFidonia,Αθηνα,
635,2022-07-17 07:03:59+00:00,IFTTT,"Spain struggles with wildfires, drought, second heat wave https://t.co/2jDCwwNfAD","Spain struggles with wildfires, drought, second heat wave ",0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,"United kingdom, global reach",
636,2022-07-17 07:03:58+00:00,IFTTT,Wildfires continue to rage in France and Spain https://t.co/hKVoIZadya,Wildfires continue to rage in France and Spain ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,"Moldova, сhisinau",
637,2022-07-17 07:03:58+00:00,IFTTT,North Macedonia: Parliament approves deal to start EU bid https://t.co/DbHWaYCVep,North Macedonia: Parliament approves deal to start EU bid ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,Brussels,
639,2022-07-17 07:03:57+00:00,IFTTT,Biden says the United States remains committed to the Middle East https://t.co/ZlJYY4wNL2,Biden says the United States remains committed to the Middle East ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,TwitterDown,,RepDeFiFidonia,Perú,
640,2022-07-17 07:03:57+00:00,IFTTT,Russia's Gazprom says no sign of Nord Steam 1 turbine https://t.co/B8X36kImAP,Russia's Gazprom says no sign of Nord Steam 1 turbine ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,"RDC, RwandaIsKilling, M23, RDF, KAGAME",,RepDeFiFidonia,"Lima, perú",
641,2022-07-17 07:03:56+00:00,IFTTT,Russia-Ukraine updates: Russia appears to restart Donbas attacks https://t.co/rhKrJc7X1J,Russia-Ukraine updates: Russia appears to restart Donbas attacks ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,RDF,,"CharlyBueno13, Seventeen_qbctf, VerzeroKodi_C, ElKFreestyleMTZ, KosmosEnKarma, JulioVera___, JaviBoss10, killermcrpm, NoTengoAka, rdf_art, IanCarlos_ianK, Adrikane34, FlowBeach1, CarlitosPU1, consentida_free, etzero_j, DiazPimienta, jahmancubanboy, York_newfree, yosy_sgold",Perú,
642,2022-07-17 07:03:56+00:00,IFTTT,Sri Lanka: Lawmakers set to replace ex-President Gotabaya Rajapaksa https://t.co/f8g3HrHWWL,Sri Lanka: Lawmakers set to replace ex-President Gotabaya Rajapaksa ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,"Lima, perú",
643,2022-07-17 07:03:55+00:00,IFTTT,Where is Italy's populist Five Star Movement headed? https://t.co/WcaJTUdcNA,Where is Italy's populist Five Star Movement headed? ,0.0,0.0,Neutral,en,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,Perú,
644,2022-07-17 07:03:55+00:00,IFTTT,"＼✨ご予約受付中✨／
8/18発売予定
Collar×Malice アクリルスタンド 
サブキャラコレクション 全19種

※【本日7/17(日)まで】にご予約いただくと
確実に商品のご用意が可能です！

通販はコチラ→https://t.co/vAXNfDYS8R

#カラマリ #オトメイト
#ステラワースオリジナル https://t.co/4jGAF20wNE","\✨ Acceptance of reservations ✨ /
Scheduled to be released on 8/18
Collar x Malice Acrylic Stand
All 19 types of sub -character collections

* If you make a reservation for [today until 7/17 (Sun)]
Product is available!

Click here for mail order →

#Karamari #Otomate
#Stella Wars Original",0.0,0.0,Positive,kiny,0,0,Noticieros_MEX,4915,393,False,ElPayasoLastimita,,RepDeFiFidonia,Athens,
645,2022-07-17 07:03:54+00:00,IFTTT,"@BhagwantMann Sat Sri Akal Sir, Sir, the people of Punjab are paying all kinds of taxes to the government, yet these innocent people are being treated as a criminal by the government machinery. The same was seen in the mandis of Punjab, whoever goes to any mandi of Punjab to buy","Sat Sri Akal Sir, Sir, the people of Punjab are paying all kinds of taxes to the government, yet these innocent people are being treated as a criminal by the government machinery. The same was seen in the mandis of Punjab, whoever goes to any mandi of Punjab to buy",0.033333333333333326,0.4583333333333333,Positive,en,0,0,Noticieros_MEX,4915,393,False,"FAIR, tool, FAIRprinciples",,oficialRDF,Brussels,
649,2022-07-17 06:55:25+00:00,Twitter for Android,@AlrajhiDf السلام عليكم ارغب في استكمال تعليمي ونيل درجة الماجستير ماهي شروط التمويل؟,Peace be upon you. I want to complete my education and obtain a master’s degree. What are the conditions for financing?,0.0,0.0,Positive,kiny,0,14,Enock85034160,4,24,False,EuroPython2022,,RepDeFiFidonia,Germany,
652,2022-07-17 06:01:31+00:00,EUwatch,"Sampah rumah tangga diolah menghasilkan energi dalam bentuk rdf lalu dijual ke PLTU digunakan bersama batubara sebagai pembangkit tenaga listrik. Proses sampah menjadi rdf adalah energy recovery atau pemulihan energi, sumber daya sampah kembali lagi menjadi energi baru terbarukan https://t.co/QGxbfyGwjO","Sampah rumah tangga diolah menghasilkan energi dalam bentuk rdf lalu dijual ke PLTU digunakan bersama batubara sebagai pembangkit tenaga listrik. Proses sampah menjadi rdf adalah energy recovery atau pemulihan energi, sumber daya sampah kembali lagi menjadi energi baru terbarukan ",0.0,0.0,Neutral,en,0,0,EUwatchers,25730,7621,False,ElPayasoLastimita,,INEGI_INFORMA,Perú,
654,2022-07-17 05:47:54+00:00,Twitter for Android,Tomando umas Heineken de leve pela rdf 🍻🕊,Taking some lightly heineken by RDF 🍻🕊,0.0,0.0,Positive,kiny,0,0,SautMarpaung777,3,48,False,ElPayasoLastimita,,dw_romana,Bg.,
655,2022-07-17 05:44:25+00:00,Twitter Web App,"@JulesBuhashe @MONUSCO @fatshi13 @AssembleeN_RDC @senatrdc who are you spreading these lies and why?

UN, FARDC &amp; UPFD forces with MONUSCU are anti-M23 and for peace in Nord-Kivu, Ituri, &amp; Goma

Ituri is at peace, southern Nord-Kivu &amp; Goma would be if it weren't for M23 &amp; RDF Tutsi forces","    who are you spreading these lies and why?

UN, FARDC &amp; UPFD forces with MONUSCU are anti-M23 and for peace in Nord-Kivu, Ituri, &amp; Goma

Ituri is at peace, southern Nord-Kivu &amp; Goma would be if it weren't for M23 &amp; RDF Tutsi forces",0.0,0.0,Neutral,en,0,1,mig30m6,1926,4351,False,"knowledgegraphs, dataintegration, rdf, sparql",,RwandaMoD,Bg.,
658,2022-07-17 05:41:10+00:00,EUwatch,North Macedonia: Parliament approves deal to start EU bid https://t.co/VpnZ1q0c1Z - source/editor :,North Macedonia: Parliament approves deal to start EU bid  - source/editor :,0.0,0.0,Neutral,en,1,1,EUwatchers,25730,7621,False,"RDF, InkotanyiNiUbuzima",,"CharlyBueno13, Seventeen_qbctf, VerzeroKodi_C, ElKFreestyleMTZ, KosmosEnKarma, JulioVera___, JaviBoss10, NoTengoAka, rdf_art, IanCarlos_ianK, Adrikane34, FlowBeach1, CarlitosPU1, consentida_free, etzero_j, DiazPimienta, jahmancubanboy, York_newfree, wvelazquez01, yosy_sgold",Mexico,
665,2022-07-17 05:34:01+00:00,Twitter Web App,"Spain struggles with wildfires, drought, second heat wave https://t.co/2JlNT3bEJA - source/editor :","Spain struggles with wildfires, drought, second heat wave  - source/editor :",0.0,0.0,Neutral,fr,9,2,WakilongoArsene,313,656,False,انترنت_لا_محدود_في_مصر,,RepDeFiFidonia,Peru,
681,2022-07-17 04:42:08+00:00,EUwatch,"Halina at kiligin
KDLEX KILIG SUNDATE
#KDLex

@kdestrada_ | @alexailacad| @oneheartkdlex
@mzlyn05 | @romromnapagao | @DeinnahMille | @rendon_mariane https://t.co/I3Jyjr8bPa","Halina at kiligin
KDLEX KILIG SUNDATE


 | | 
 |  |  |  ",0.0,0.0,Neutral,en,0,0,EUwatchers,25730,7621,False,123INFO,,"cotab_sarl, politicocd, StephieMUKINZI, fashi13","Washington, dc",
684,2022-07-17 04:29:28+00:00,Twitter for Android,"＼ご予約受付中！／
7/24発売予定
ステラワースオリジナルグッズ

男子高校生、はじめての
・童話アクリルスタンド
・ミニキャンバスアート
・100mm缶バッジ VOL.3
・レザーチャーム ケモミミver.

https://t.co/iDbcjrZg7G https://t.co/5mBszfkz5T","\ Acceptance of reservations! / /
Scheduled to be released on 7/24
Stella Wars Original Goods

High school boy, the first time
・ Fairy tale acrylic stand
・ Mini canvas art
・ 100mm can badge Vol.3
・ Leather charm chemomimi ver.

 ",0.0,0.0,Positive,fr,0,3,SDientou,700,3610,False,"GraphDB, SPARQL, RDF, knowledgegraphs, semanticweb",,RepDeFiFidonia,Ocean indien,
687,2022-07-17 04:18:01+00:00,Twitter for Android,"Hungary: Protesters angered by Orban-backed tax reforms
#123INFO
https://t.co/r7Hq3EOUK7","Hungary: Protesters angered by Orban-backed tax reforms

",-0.75,0.85,Negative,fr,0,5,DeLaBrosse12,28,119,False,"RT, Rwanda, RwOT",,A_Haber_,Somewhere in the universe,
695,2022-07-17 03:31:21+00:00,Twitter for iPhone,"Ucrania reporta ""poderosas explosiones"" en Mikolaiv https://t.co/HWx1Awfwdr https://t.co/UQn3X4SFFD","Ucrania reporta ""poderosas explosiones"" en Mikolaiv  ",0.0,0.0,Neutral,en,0,0,uneejia,890,221,False,RwOT,,ana_sillvx,"Rancho cordova, ca",
699,2022-07-17 03:00:34+00:00,Twitter for iPhone,"大牟田リサイクル発電株式会社、第24期決算公告

当期純利益 △114百万円

事業内容：自治体が一般廃棄物から製造する固形燃料(RDF)を燃料とする発電事業
https://t.co/AIwbOghoPs https://t.co/OE8FCPp6Va","大牟田リサイクル発電株式会社、第24期決算公告

当期純利益 △114百万円

事業内容：自治体が一般廃棄物から製造する固形燃料(RDF)を燃料とする発電事業
 ",0.0,0.0,Neutral,en,0,13,justchavez20,1207,1090,False,RwOT,,A_Haber_,"Maryland, usa",
705,2022-07-17 02:17:48+00:00,Twitter for Android,Incendios en Francia arrasan con más de 10.000 hectáreas https://t.co/uHcY2UUq5M,Incendios en Francia arrasan con más de 10.000 hectáreas ,0.0,0.0,Neutral,en,1,0,uhhh_no_thanks_,4,111,False,"itsio, security",,RwandaMoD,Germany,
725,2022-07-17 01:28:39+00:00,Microsoft Power Platform,"@ErikAamot @MONUSCO @fatshi13 @AssembleeN_RDC @senatrdc Even me, I didn't talk about people. We just need to see Monusco's soldiers out from our country. Please, avoid to transform my message and its sense 🙏","    Even me, I didn't talk about people. We just need to see Monusco's soldiers out from our country. Please, avoid to transform my message and its sense 🙏",0.0,0.0,Neutral,en,0,0,123_INFO_DE,118,12,False,RDF,,"RepDeFiFidonia, EugenioDerbez",Rwanda,
729,2022-07-17 01:12:24+00:00,Twitter for Android,#FARDC fighting alongside the #FDLR the genocidaires can never win a war against people #M23 that are fighting for their right to live in they own country.,fighting alongside the  the genocidaires can never win a war against people  that are fighting for their right to live in they own country.,0.1555194805194805,0.6089285714285715,Positive,en,0,1659,GustavocesarMa7,5,87,False,RedDeadFuneral,,IGIHE,"Paris, milan, genève",
731,2022-07-17 00:58:52+00:00,Twitter for iPhone,RDF (FNF) Remix 😂 #onbiggrits #comedy #fnf #glorilla #hitkidd #cnahumor ... https://t.co/131cstsJ27 via @YouTube @HisTreasure4Eva 😂😂,RDF (FNF) Remix 😂       ...  via   😂😂,0.0,0.0,Neutral,en,0,0,genocide_in_drc,3459,1287,False,RDF,,"RWALINDAP, RwandaMoD",関西,
733,2022-07-17 00:47:31+00:00,Twitter Web App,"Pues, López Dobladón, quien según los Chairos fue a poner el alto a México, realmente fue a poner la cartera abierta.

No sólo ofreció gasolina subsidiada con nuestros impuestos, también hacer realidad el deseo de Trun', que paguemos el muro... o su equivalente.

🤨

#RDF🐅 https://t.co/6O4XSyyjxZ","Well, López Dobladón, who according to the Chairos went to stop Mexico, really went to put the portfolio open.

Not only did he offer subsidized gasoline with our taxes, he also realized Trun's desire ', that we pay the wall ... or its equivalent.

🤨

🐅",0.0,0.0,Positive,fr,0,1,_shower_thinker,213,0,False,RDF,,"DenisMukwege, EP_HumanRights, PaulKagame, EP_HumanRights","Kampala, uganda",
734,2022-07-17 00:46:04+00:00,Twitter for iPhone,Un avión de carga se estrella en el norte de Grecia https://t.co/a1hkFci74g,A cargo plane crashes in northern Greece,0.0,0.0,Neutral,fr,2,1,HoesLuvDaKid,3160,2684,False,RDF,,A_Haber_,東京：池袋,
743,2022-07-17 00:27:17+00:00,Twitter Web App,@CharlyBueno13 @Seventeen_qbctf @VerzeroKodi_C @ElKFreestyleMTZ @KosmosEnKarma @JulioVera___ @JaviBoss10 @killermcrpm @NoTengoAka @rdf_art @IanCarlos_ianK @Adrikane34 @FlowBeach1 @CarlitosPU1 @etzero_j @DiazPimienta @jahmancubanboy @York_newfree @wvelazquez01 @yosy_sgold 👏👏👏👏,                   👏👏👏👏,0.0,0.0,Neutral,en,0,0,eTravelAlerts,480,829,False,RDF,,IGIHE,Brussels,
750,2022-07-17 00:03:27+00:00,Twitter for Android,"@FlemishCitizen @BrianBirming @uhhh_no_thanks_ How ? WOTLK existed without RDF so not having it doesn't make it ""more Vanilla""","  How ? WOTLK existed without RDF so not having it doesn't make it ""more Vanilla""",0.5,0.5,Positive,fr,0,0,bouche_bee,2836,1416,False,RDF,,dwnews,Germany,
771,2022-07-16 22:36:01+00:00,Twitter Web App,"@BrianBirming @uhhh_no_thanks_ @Andycloud624 Removing RDF makes wotlk less like wotlk and more like vanilla, this is not what players want! The new tool is honestly very dissapointing, people are just using chat channels on the beta because of how lackluster it is.","  Removing RDF makes wotlk less like wotlk and more like vanilla, this is not what players want! The new tool is honestly very dissapointing, people are just using chat channels on the beta because of how lackluster it is.",0.1986742424242424,0.3303030303030303,Positive,fr,0,0,mutsy000,608,632,False,RDF,,FabRugumire,Germany,
772,2022-07-16 22:35:59+00:00,Twitter Web App,The Chromatica Ball starts TOMORROW. What songs on The Fame are you hoping to hear? ⚡ https://t.co/0pu9BE406s,The Chromatica Ball starts TOMORROW. What songs on The Fame are you hoping to hear? ⚡,0.0,0.0,Neutral,fr,0,0,mutsy000,608,632,False,RDF,,Radiotv10rwanda,Germany,
774,2022-07-16 22:31:29+00:00,Twitter for Android,"Cargo aircraft crashes in northern Greece
#123INFO
https://t.co/nN8YZ8jbAU","Cargo aircraft crashes in northern Greece

",0.0,0.0,Neutral,en,1,0,kyubi_banana96,187,1942,False,RDF,,dw_romana,Rwanda,
798,2022-07-16 21:49:56+00:00,east_drc_bot,@CharlyBueno13 @Seventeen_qbctf @VerzeroKodi_C @ElKFreestyleMTZ @KosmosEnKarma @JulioVera___ @JaviBoss10 @killermcrpm @NoTengoAka @rdf_art @IanCarlos_ianK @Adrikane34 @FlowBeach1 @CarlitosPU1 @consentida_free @etzero_j @DiazPimienta @jahmancubanboy @York_newfree @yosy_sgold ✊🏻✊🏻,✊🏻✊🏻,0.0,0.0,Neutral,fr,0,1,East_DRC_News,1262,3,False,123INFO,,RwandaMoD,Rwanda,
808,2022-07-16 21:37:09+00:00,Twitter for iPhone,Where is Italy's populist Five Star Movement headed? https://t.co/jjPiql22Cq - source/editor :,Where is Italy's populist Five Star Movement headed?  - source/editor :,0.0,0.0,Neutral,fr,0,3,MusungayChrist1,158,232,False,RDF,,RwandaMoD,Rwanda,
810,2022-07-16 21:32:58+00:00,EUwatch,"@LitsaniChoukran Ce sont les méthodes du @rpfinkotanyi, celui-ci ayant formé l'armée #RDF, et RDF ayant formé à son tour le #M23. Ils ont tous le même ADN, les mêmes méthodes criminelles, la même barbarie.","Ce sont les méthodes du , celui-ci ayant formé l'armée , et RDF ayant formé à son tour le . Ils ont tous le même ADN, les mêmes méthodes criminelles, la même barbarie.",0.0,0.0,Neutral,en,0,0,EUwatchers,25730,7621,False,DW,,"RepDeFiFidonia, EugenioDerbez",Kinshasa,
818,2022-07-16 21:05:51+00:00,Twitter Web App,#Inkotanyicyane  #RDF https://t.co/X25RkJUrTC,  ,0.0,0.0,Neutral,en,0,1,arson_cole,235,1699,False,DW,,FabRugumire,Goma ,
824,2022-07-16 20:52:57+00:00,Twitter for Android,"@Diego_RDF Huehuehue 🤘 Quero ganhar 69 votos...69 huehue! Já já te conto o resultado!🤪
Responda esse tweet com #PARE se não quiser receber o alerta sobre o final da batalha. https://t.co/TPmdFaT88s","Huehuehue 🤘 Quero ganhar 69 votos...69 huehue! Já já te conto o resultado!🤪
Responda esse tweet com  se não quiser receber o alerta sobre o final da batalha. ",0.0,1.0,Neutral,en,0,0,ShemaPa00375094,14,191,False,RDF,,RwandaMoD,Valhalla,
830,2022-07-16 20:44:39+00:00,Twitter for Android,"Abbott expects to start shipping EleCare infant formula in the coming weeks.
  https://t.co/HgChDBleNZ","Abbott expects to start shipping EleCare infant formula in the coming weeks.
  ",0.0,0.0,Neutral,fr,1,1,RWALINDAP,5885,413,False,RDF,,"RepDeFiFidonia, EugenioDerbez",🦌,
842,2022-07-16 20:24:41+00:00,Twitter Web App,"Pauvre terroriste RDF incapable de s'afficher,se cachant !!!vous n aurez jamais la terre de nos ancêtres.Vous n'avez pas réussi sous AFDL,sous CNDP,encore moins sous M23.Vous retournerez la queue entre les pattes du coin où vous êtes sortis @RL_Patriote @LeMwalim_ @MONUSCO https://t.co/TpyFcxN4Uy","Pauvre terroriste RDF incapable de s'afficher,se cachant !!!vous n aurez jamais la terre de nos ancêtres.Vous n'avez pas réussi sous AFDL,sous CNDP,encore moins sous M23.Vous retournerez la queue entre les pattes du coin où vous êtes sortis    ",0.0,0.0,Neutral,en,0,1,Gauci10P,146,538,False,RDF,,mkainerugaba,Kenya,
866,2022-07-16 20:01:18+00:00,EUwatch,"Abarimo General basezerewe mu ngabo bizeza RDF gukomeza kuba abagize umuryango wayo
===
Ubuyobozi bwa RDF bwakoze umuhango wo gusezerera bamwe mu basirikare barimo abagiye mu kiruhuko cy’izabukuru bizeza RDF kuzakomeza kuyibera abagize umuryango wayo.
⬇️https://t.co/PpVJu47tct","Abarimo General basezerewe mu ngabo bizeza RDF gukomeza kuba abagize umuryango wayo
===
Ubuyobozi bwa RDF bwakoze umuhango wo gusezerera bamwe mu basirikare barimo abagiye mu kiruhuko cy’izabukuru bizeza RDF kuzakomeza kuyibera abagize umuryango wayo.
⬇️",0.05000000000000002,0.5,Positive,en,0,0,EUwatchers,25730,7621,False,RDF,,FabRugumire,"Gatos güeros, nl",
872,2022-07-16 19:58:45+00:00,Twitter for Android,"Spain struggles with wildfires, drought, second heat wave
#123INFO
https://t.co/gpxnwzGv5A","Spain struggles with wildfires, drought, second heat wave

",0.0,0.0,Neutral,fr,0,7,HervMukanya1,1618,2593,False,RDF,,RwandaMoD,Mexico,
888,2022-07-16 19:48:51+00:00,east_drc_bot,La factura de la calefacción en Alemania se triplicará en 2023 https://t.co/BjXMMMFLDM,The heating invoice in Germany will triple in 2023,0.0,0.0,Neutral,fr,0,7,East_DRC_News,1262,3,False,RDF,,"joshunzi0211, rbarwanda, AngeKagame",Guarani / cbf🚩〰️ ,
